,state,date,tot_cases,new_cases,tot_deaths,new_deaths,1st_dose,2nd_dose
292,Puerto Rico,Mar-2021,518707,7851,10430,102,236340,236340
293,Puerto Rico,May-2021,545086,7543,9710,193,262890,262890
294,Rhode Island,Apr-2021,545747,10050,10569,49,63180,63180
295,Rhode Island,Dec-2020,346692,33523,8419,537,25350,25350
296,Rhode Island,Feb-2021,458339,11446,9789,195,32175,32175
297,Rhode Island,Jan-2021,393070,24876,8670,392,27300,27300
298,Rhode Island,Jun-2021,723576,960,13567,21,51840,51840
299,Rhode Island,Mar-2021,625232,11705,12878,113,76050,76050
300,Rhode Island,May-2021,571540,4149,10753,39,82800,82800
301,South Carolina,Apr-2021,2271573,25009,37340,324,286650,286650
302,South Carolina,Dec-2020,1306104,92570,24134,932,112125,112125
303,South Carolina,Feb-2021,1925347,81813,31652,1730,142740,142740
304,South Carolina,Jan-2021,1525687,123756,24490,1420,122850,122850
305,South Carolina,Jun-2021,2975701,4979,48838,123,222480,222480
306,South Carolina,Mar-2021,2680132,42587,44530,746,336960,336960
307,South Carolina,May-2021,2348744,15194,38456,218,373680,373680
308,South Dakota,Apr-2021,483269,4641,7796,28,49140,49140
309,South Dakota,Dec-2020,457590,22579,6294,615,20475,20475
310,South Dakota,Feb-2021,440706,4196,7295,124,26910,26910
311,South Dakota,Jan-2021,419503,8890,6526,274,23400,23400
312,South Dakota,Jun-2021,621896,483,10131,31,39420,39420
313,South Dakota,Mar-2021,575849,5949,9564,71,58500,58500
314,South Dakota,May-2021,494467,1666,7960,42,64620,64620
315,Tennessee,Apr-2021,3309739,33435,48149,276,381420,381420
316,Tennessee,Dec-2020,2394412,231996,28718,2345,148200,148200
317,Tennessee,Feb-2021,2990843,53624,42997,1945,191295,191295
318,Tennessee,Jan-2021,2683876,133878,33402,2505,163800,163800
319,Tennessee,Jun-2021,4316600,7884,62335,157,296460,296460
320,Tennessee,Mar-2021,3949220,42784,58265,602,449280,449280
321,Tennessee,May-2021,3410944,18065,49137,234,496620,496620
322,Texas,Apr-2021,11269859,93974,198330,1787,1515150,1515150
323,Texas,Dec-2020,7493382,498834,126337,6438,587925,587925
324,Texas,Feb-2021,10047368,314923,164627,6835,758355,758355
325,Texas,Jan-2021,8277398,565586,132190,8444,650325,650325
326,Texas,Jun-2021,14723460,51516,259573,960,1180980,1180980
327,Texas,Mar-2021,13517307,168126,234174,5025,1783080,1783080
328,Texas,May-2021,11574724,61828,203598,1170,1970820,1970820
329,U.S. Virgin Islands,Apr-2021,12101,191,106,1,9360,9360
330,U.S. Virgin Islands,Dec-2020,9113,510,115,0,2925,2925
331,U.S. Virgin Islands,Feb-2021,10126,250,99,1,4095,4095
332,U.S. Virgin Islands,Jan-2021,8950,342,96,1,3900,3900
333,U.S. Virgin Islands,Jun-2021,18636,480,146,3,9720,9720
334,U.S. Virgin Islands,Mar-2021,14042,284,126,1,11700,11700
335,U.S. Virgin Islands,May-2021,13141,301,108,0,12600,12600
336,Utah,Apr-2021,1569960,10892,8678,68,157950,157950
337,Utah,Dec-2020,1203697,88706,5460,422,61425,61425
338,Utah,Feb-2021,1439038,27937,7159,259,80730,80730
339,Utah,Jan-2021,1278786,66722,5911,362,68250,68250
340,Utah,Jun-2021,2052942,10060,11656,77,123660,123660
341,Utah,Mar-2021,1897062,17053,10195,245,188370,188370
342,Utah,May-2021,1608679,8559,9040,100,205020,205020
343,Vermont,Apr-2021,86005,3724,994,20,39780,39780
344,Vermont,Dec-2020,28559,3345,548,74,16575,16575
345,Vermont,Feb-2021,53162,3383,787,26,21645,21645
346,Vermont,Jan-2021,38156,4048,676,37,18525,18525
347,Vermont,Jun-2021,121597,290,1319,1,33210,33210
348,Vermont,Mar-2021,84850,4367,1116,26,46800,46800
349,Vermont,May-2021,94642,1515,1042,10,53190,53190
350,Virginia,Apr-2021,2575325,38087,42226,475,484380,484380
351,Virginia,Dec-2020,1465294,118057,22628,981,188175,188175
352,Virginia,Feb-2021,2174564,80209,28371,1581,242190,242190
353,Virginia,Jan-2021,1734021,144193,22867,1245,206700,206700
354,Virginia,Jun-2021,3386950,6600,56344,276,378000,378000
355,Virginia,Mar-2021,2994299,50046,49536,2432,568620,568620
356,Virginia,May-2021,2674721,16431,43824,378,631440,631440
357,Washington,Apr-2021,1543060,35387,16743,753,423540,423540
358,Washington,Dec-2020,1065529,85261,10421,223,164775,164775
359,Washington,Feb-2021,1309137,30875,10731,461,213135,213135
360,Washington,Jan-2021,1143834,60901,9281,251,195975,195975
361,Washington,Jun-2021,2224706,18906,26105,282,327510,327510
362,Washington,Mar-2021,1762768,27894,16385,813,497250,497250
363,Washington,May-2021,1685043,32500,19483,588,549090,549090
364,West Virginia,Apr-2021,593584,10562,10605,65,108810,108810
365,West Virginia,Dec-2020,335378,41173,5229,624,42900,42900
366,West Virginia,Feb-2021,507223,12622,8706,324,53820,53820
367,West Virginia,Jan-2021,428379,33546,6934,632,46800,46800
368,West Virginia,Jun-2021,815701,3260,14266,102,86400,86400
369,West Virginia,Mar-2021,683411,11345,12323,332,128700,128700
370,West Virginia,May-2021,632113,8483,11008,117,141120,141120
371,Wisconsin,Apr-2021,2602109,22658,29718,224,333450,333450
372,Wisconsin,Dec-2020,2367942,123784,22485,1847,129675,129675
373,Wisconsin,Feb-2021,2422468,28657,26918,630,168675,168675
374,Wisconsin,Jan-2021,2252743,69377,23443,1109,144300,144300
375,Wisconsin,Jun-2021,3381442,4306,40127,363,257040,257040
376,Wisconsin,Mar-2021,3136647,21781,35974,379,394290,394290
377,Wisconsin,May-2021,2675365,14607,30778,232,432000,432000
378,Wyoming,Apr-2021,229351,1689,2816,7,35100,35100
379,Wyoming,Dec-2020,199476,13364,1644,190,13650,13650
380,Wyoming,Feb-2021,212613,2621,2603,74,17550,17550
381,Wyoming,Jan-2021,195671,7243,2133,191,15600,15600
382,Wyoming,Jun-2021,306803,2328,3666,28,28350,28350
383,Wyoming,Mar-2021,277279,2321,3461,30,42120,42120
384,Wyoming,May-2021,236668,1962,2854,12,46890,46890
